URL,Marque,Modèle,Prix,Carrosserie,Etat,Sieges,Portes,Annonce ID,Garantie,Kilometrage,Annee,Puissance,Transmission,Cylindree,Carburant,CO2,Couleur originale,Type peinture,Couleur interieur,position_page
https://www.autoscout24.fr/offres/kia-soul-1-6-crdi-buzz-essence-noir-59461a9c-4139-44e8-8462-36e3df381f94,,,,SUV/4x4/Pick-Up,Occasion,5,5,4518,12 mois,,01/2011,96 kW (131 CH),Boîte manuelle,1 582 cm³,Essence,137 g/km (mixte),NOIR,Métallisé,Noir,15
https://www.autoscout24.fr/offres/tesla-model-3-standard-rwd-plus-my22-electrique-blanc-b58371c4-38b3-4e2e-967f-5607999c5af2,,,,Berline,Occasion,5,5,88,,,03/2022,205 kW (279 CH),Boîte automatique,,Electrique,0 g/km (mixte),BLANC,,Noir,13
https://www.autoscout24.fr/offres/kia-soul-ev-110-ultimate-automatique-electrique-blanc-606604db-2f13-4628-8e6f-547c90b1ec24,,,,SUV/4x4/Pick-Up,Occasion,5,5,r0070872,6 mois,,09/2016,100 kW (136 CH),Boîte automatique,,Electrique,0 g/km (mixte),Blanc,,Gris,10
https://www.autoscout24.fr/offres/ford-kuga-2-0-tdci-163ch-fap-titanium-4x4-diesel-blanc-838d8dfa-efba-4897-854e-fc9afa7de0d3,,,,SUV/4x4/Pick-Up,Occasion,5,5,2092,3 mois,,04/2011,122 kW (166 CH),Boîte manuelle,1 997 cm³,Diesel,149 g/km (mixte),BLANC,,Gris,9
https://www.autoscout24.fr/offres/audi-rs5-r-abt-quattro-1-of-50-essence-gris-82f67ad0-52f0-44e7-9574-4e1eeef13f16,,,,Coupé,Occasion,4,,VRZ_ED8449,,,12/2017,331 kW (450 CH),Boîte automatique,,Essence,,Gris,Métallisé,Noir,5
https://www.autoscout24.fr/offres/peugeot-5008-bluehdi-130-s-u0026amp-s-active-business-7-places-diesel-noir-5290cce9-54ab-40c5-8681-071edb05009c,,,,SUV/4x4/Pick-Up,Occasion,7,5,3ctw82ku6,6 mois,,09/2020,96 kW (131 CH),Boîte manuelle,1 499 cm³,Diesel,,Black,,Noir,7
https://www.autoscout24.fr/offres/volkswagen-cc-2-0-tdi-184-carat-diesel-bleu-db394030-3bff-4835-ac48-0e364ef857b2,,,,Berline,Occasion,5,4,5upu8r4a,6 mois,,11/2016,135 kW (184 CH),Boîte manuelle,1 968 cm³,Diesel,,BLEU FONCE,,Noir,4
https://www.autoscout24.fr/offres/bmw-x3-f25-xdrive-20d-190-bva8-business-diesel-noir-c0ec7b9b-3901-44b0-940c-6d8303f60e66,,,,SUV/4x4/Pick-Up,Occasion,5,5,r0070265,6 mois,,11/2014,140 kW (190 CH),Boîte automatique,,Diesel,131 g/km (mixte),Noir,,Beige,3
https://www.autoscout24.fr/offres/peugeot-3008-1-6-bluehdi-120-eat6-active-business-diesel-noir-568ef230-ec09-4247-8b43-c7777812ce47,,,,Monospace,Occasion,5,5,r0070621,6 mois,,06/2016,88 kW (120 CH),Boîte automatique,,Diesel,112 g/km (mixte),Noir,,Noir,2
https://www.autoscout24.fr/offres/mercedes-benz-a-250-phev-mbux-27-196-km-zetelverw-berline-electrique-essence-argent-c17d357e-a989-4e8c-aad8-9a284fe39298,,,,Berline,Occasion,5,4,02d2f026-6176-4670-8d85-2aaf186c9087,,,07/2021,160 kW (218 CH),Avant,1 332 cm³,,32 g/km (mixte),Argent,Métallisé,Noir,2
